device_id,segment_id,start_date,end_date,length_days,start_level,end_level,drop,decay_rate,month,period_stage,eligible_pure_decay,ineligible_reason
a1,25,2026-01-23,2026-01-29,6,93.9100307312295,90.74936768079795,-3.160663050431552,-0.5267771750719253,1,late,True,
a1,26,2026-01-31,2026-02-07,7,89.97272600511096,86.23686696199516,-3.735859043115795,-0.5336941490165421,1,late,True,
a1,27,2026-02-14,2026-03-03,17,82.666995199889,73.2164773074862,-9.4505178924028,-0.5559128172001647,2,late,True,
a1,28,2026-03-11,2026-04-06,26,102.7111873269865,95.2048465639203,-7.506340763066206,-0.28870541396408483,3,late,True,
a2,1,2024-04-08,2024-04-29,21,72.59072625771515,67.345749636688,-5.244976621027149,-0.24976079147748328,4,early,True,
a2,2,2024-05-14,2024-05-31,17,66.7595636010094,63.5819344701148,-3.1776291308946014,-0.1869193606408589,5,early,True,
a2,3,2024-06-08,2024-07-29,51,86.28920956728265,79.5813452834645,-6.707864283818154,-0.13152675066310104,6,early,True,
a2,4,2024-07-30,2024-08-12,13,89.63076615419871,83.5308543102462,-6.099911843952512,-0.46922398799634707,7,early,True,
a2,5,2024-08-20,2024-10-01,42,100.70576412920335,84.9213664987914,-15.784397630411945,-0.3758189912002844,8,early,True,
a2,6,2024-10-03,2024-10-30,27,85.2813903512482,74.60134139299521,-10.680048958252996,-0.3955573688241851,10,early,True,
a2,7,2024-11-07,2024-12-13,36,89.4635392426539,70.0752900882089,-19.388249154444992,-0.5385624765123609,11,early,True,
a2,8,2024-12-15,2024-12-28,13,69.7372221215539,64.0257969006992,-5.711425220854693,-0.4393404016042072,12,early,True,
a2,9,2025-01-05,2025-01-30,25,72.90132228277085,60.9382940507671,-11.96302823200375,-0.47852112928015006,1,early,True,
a2,10,2025-02-03,2025-02-10,7,60.99450541180905,56.7332656087004,-4.261239803108651,-0.608748543301236,2,early,True,
a2,11,2025-02-12,2025-02-16,4,55.9935302433865,54.25645196075595,-1.7370782826305486,-0.43426957065763716,2,early,True,
a2,12,2025-02-24,2025-04-01,36,72.7396648543602,62.0228642141625,-10.716800640197697,-0.29768890667215825,2,early,True,
a2,13,2025-04-11,2025-04-17,6,75.75765546444785,74.5278135881714,-1.2298418762764527,-0.20497364604607546,4,late,True,
a2,14,2025-04-19,2025-05-24,35,74.2130777453991,66.1979016183978,-8.015176127001311,-0.22900503220003746,4,late,True,
