device_id,year,n_major_before_cap,n_major_after_cap,n_major_downgraded_to_medium,cap_rule
a5,2050,1,1,0,0_to_4_major_per_year
a5,2049,0,0,0,0_to_4_major_per_year
a5,2048,1,1,0,0_to_4_major_per_year
a5,2034,0,0,0,0_to_4_major_per_year
a5,2027,1,1,0,0_to_4_major_per_year
a5,2028,0,0,0,0_to_4_major_per_year
a5,2029,1,1,0,0_to_4_major_per_year
a5,2030,0,0,0,0_to_4_major_per_year
a5,2031,1,1,0,0_to_4_major_per_year
a5,2032,0,0,0,0_to_4_major_per_year
a5,2033,1,1,0,0_to_4_major_per_year
a5,2026,0,0,0,0_to_4_major_per_year
a5,2066,0,0,0,0_to_4_major_per_year
a5,2065,1,1,0,0_to_4_major_per_year
a5,2064,0,0,0,0_to_4_major_per_year
a5,2063,1,1,0,0_to_4_major_per_year
a5,2062,0,0,0,0_to_4_major_per_year
a5,2061,1,1,0,0_to_4_major_per_year
a5,2060,0,0,0,0_to_4_major_per_year
a5,2059,1,1,0,0_to_4_major_per_year
a5,2058,0,0,0,0_to_4_major_per_year
a5,2057,1,1,0,0_to_4_major_per_year
a5,2056,0,0,0,0_to_4_major_per_year
a5,2055,1,1,0,0_to_4_major_per_year
a5,2054,0,0,0,0_to_4_major_per_year
a5,2053,1,1,0,0_to_4_major_per_year
a5,2052,0,0,0,0_to_4_major_per_year
a5,2051,0,0,0,0_to_4_major_per_year
a5,2076,0,0,0,0_to_4_major_per_year
a5,2075,0,0,0,0_to_4_major_per_year
a5,2069,0,0,0,0_to_4_major_per_year
a5,2070,1,1,0,0_to_4_major_per_year
a5,2071,0,0,0,0_to_4_major_per_year
a5,2072,1,1,0,0_to_4_major_per_year
a5,2073,0,0,0,0_to_4_major_per_year
a5,2074,1,1,0,0_to_4_major_per_year
a5,2068,0,0,0,0_to_4_major_per_year
a5,2067,1,1,0,0_to_4_major_per_year
a5,2040,1,1,0,0_to_4_major_per_year
a5,2039,0,0,0,0_to_4_major_per_year
a5,2038,1,1,0,0_to_4_major_per_year
a5,2037,0,0,0,0_to_4_major_per_year
a5,2036,0,0,0,0_to_4_major_per_year
a5,2035,1,1,0,0_to_4_major_per_year
a5,2042,1,1,0,0_to_4_major_per_year
