section,term,month,value,coef,std_err,t_value,p_value,n_samples,r_squared,model_name
seasonal_level,seasonal_level_used,1.0,-16.737416547332458,,,,,576,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,2.0,-12.969102413334966,,,,,486,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,3.0,-7.993894251279294,,,,,569,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,4.0,-2.0531511943696548,,,,,363,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,5.0,2.1263517728889947,,,,,344,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,6.0,7.357155402327613,,,,,565,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,7.0,11.156700989814873,,,,,596,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,8.0,14.322300033338898,,,,,584,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,9.0,10.745990071417303,,,,,586,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,10.0,3.681413225651944,,,,,587,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,11.0,-1.4229724970006294,,,,,574,,median_residual_centered_month_level
seasonal_level,seasonal_level_used,12.0,-8.21337459212262,,,,,588,,median_residual_centered_month_level
monthly_decay_intensity,monthly_decay_intensity,1.0,0.5528505556190282,,,,,25,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,2.0,0.5025832215076584,,,,,30,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,3.0,0.28870541396408483,,,,,29,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,4.0,0.2571474841923511,,,,,24,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,5.0,0.1901596683577819,,,,,18,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,6.0,0.1240908647142982,,,,,16,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,7.0,0.19318212010991548,,,,,14,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,8.0,0.3277937278706155,,,,,21,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,9.0,0.5825767401224635,,,,,11,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,10.0,0.5681555608790918,,,,,14,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,11.0,0.5769869794971205,,,,,20,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,12.0,0.5689962459701229,,,,,17,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,8.0,0.3277937278706155,,,,,21,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,9.0,0.5825767401224635,,,,,11,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,10.0,0.5681555608790918,,,,,14,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,11.0,0.5769869794971205,,,,,20,,pure_decay_segment_month_median
monthly_decay_intensity,monthly_decay_intensity,12.0,0.5689962459701229,,,,,17,,pure_decay_segment_month_median
regression,const,,,97.30498109444216,0.9122887243616596,106.66029130473768,0.0,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,days_since_last_maintenance,,,-0.29543393786091077,0.00966437025139741,-30.56939357411237,3.1241880053500484e-205,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,days_from_observation_start,,,-0.029910792041903764,0.0009437249328697819,-31.6943963226104,1.8559878078222943e-220,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,device_a2,,,-20.034458928291883,0.7560344757642896,-26.499398599566067,9.84825152596089e-155,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,device_a3,,,-0.1642897132244343,0.7522553587270963,-0.21839620192594128,0.8271204245454222,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,device_a4,,,3.3070393518141827,0.7586486234825697,4.3591186347023845,1.3058731005617359e-05,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,device_a5,,,-2.054509008260311,0.7481751707141088,-2.746026717646015,0.006032185092596226,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,device_a6,,,-16.309903405660066,0.7570322359374442,-21.54452958725499,5.958571700474937e-103,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,device_a7,,,-4.964692999547424,0.7512818185529261,-6.608296483349108,3.887675110727446e-11,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,device_a8,,,-0.35231463348384295,0.7543473540846865,-0.467045627688767,0.6404672338377739,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,device_a9,,,-10.608056388286343,0.7557801169854536,-14.035902969501532,9.399157773138706e-45,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,device_a10,,,-2.7428512460987804,0.7501661062204382,-3.6563252103165356,0.0002558567274762816,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,month_2,,,1.8708557337141087,0.8318300845347608,2.2490839998417114,0.024507152315890682,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,month_3,,,6.688402909263459,0.7996068653442211,8.364614161215565,6.031196589171735e-17,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,month_4,,,12.844646225231486,0.9044044152842254,14.202325871214178,8.86214992287319e-46,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,month_5,,,18.238582749289435,0.925855292235418,19.699172108476642,2.191746273043456e-86,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,month_6,,,21.836957907152566,0.8230684914290569,26.531155225293627,4.237883264515737e-155,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,month_7,,,26.663568326525024,0.8096687308080385,32.9314537068946,7.797404564533367e-238,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,month_8,,,31.738704590129544,0.8127529342927173,39.050864353691374,0.0,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,month_9,,,29.899117264658457,0.8087545120783086,36.96933595810769,3.5623901528152473e-299,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,month_10,,,19.66884624605433,0.8018540790326921,24.529208942581704,7.20993960301894e-133,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,month_11,,,12.106873922448017,0.7985447519864448,15.161171483916444,6.391898485178472e-52,6418,0.57921009117055,daily_median_device_month_tau_time_ols
regression,month_12,,,5.304022031141926,0.7936886159452738,6.682749285530445,2.345005780164367e-11,6418,0.57921009117055,daily_median_device_month_tau_time_ols
